emp_no,first_name,last_name,birth_date
10764,Yunming,Beetstra,1953-01-12
10767,Monique,Doering,1954-02-28
10768,Ishfaq,Candan,1955-06-24
10777,Mizuhito,Kemmerer,1955-08-11
10778,Selwyn,Merey,1953-03-13
10780,Goncalo,Staudhammer,1955-09-12
10782,Kish,Perna,1952-09-18
10791,Tadahiko,Sgarro,1954-05-27
10795,Supot,Naudin,1954-12-14
10801,Uinam,Zschoche,1953-03-05
10803,Katsuyuki,Velasco,1952-09-15
10808,Chenxi,Leijenhorst,1955-09-11
10811,Ashish,Fortenbacher,1954-06-29
10813,Shalesh,Shumilov,1954-07-04
10814,Nidapan,Dymetman,1952-09-17
10826,Arnd,Anandan,1952-12-06
10827,Willard,Danley,1953-09-25
10829,Alper,Narahara,1955-07-11
10830,Fen,Fiebach,1954-08-17
10831,Toong,Driscoll,1953-10-11
10833,Krisda,Gecseg,1953-04-12
10834,Huiqun,Rajcani,1954-12-16
10835,Tomoyuki,Kermarrec,1952-11-23
10836,Jianhua,Leivant,1953-07-15
10844,Dipayan,Koprowski,1954-02-03
10846,Tokuyasu,Serre,1952-06-27
10847,Theirry,Danley,1952-03-04
10848,Fen,Bratsberg,1954-07-16
10849,Makato,Mayerwieser,1953-03-05
10854,Jagoda,Nannarelli,1954-08-11
10858,Kenroku,Gonthier,1952-10-01
10867,Billur,Gyorkos,1952-10-01
10871,Aram,Gilg,1952-10-24
10872,Karoline,Speel,1952-02-21
10873,Sukumar,Wegerle,1952-07-09
10876,Vincent,Papastamatiou,1955-08-05
10878,Lakshmi,Deville,1952-06-13
10879,Muzhong,Chleq,1953-08-18
10882,Fun,Heuser,1953-11-01
10883,Shimshon,Champarnaud,1952-07-30
10885,Rayond,Cronau,1953-05-06
10887,Lunjin,DeMori,1953-01-16
10895,Vishwani,Petersohn,1952-03-21
10900,Ferdinand,Prenel,1955-07-18
10906,Munehiro,Carrere,1952-02-06
10909,Georgi,Atchley,1954-11-11
10912,Oscal,Fasbender,1952-07-27
10913,Narain,Thummel,1952-09-03
10918,Susumu,Reghbati,1954-12-26
10920,Ronghao,Narahara,1955-04-08
10921,Mara,Bahi,1955-07-20
10922,Kyoichi,Wossner,1953-10-27
10924,Hironoby,Atchley,1954-04-27
10926,Leni,Eppinger,1954-10-13
10927,Gal,Scallan,1953-03-13
10930,Arch,Minakawa,1954-01-13
10932,Avishai,Picci,1955-11-19
10936,Mountaz,Schicker,1953-04-08
10940,Aleksander,Fioravanti,1953-01-07
10942,Toshimitsu,Larfeldt,1952-08-08
10943,Berna,Skafidas,1955-11-19
10944,Remko,Zyda,1952-05-25
10947,Gor,Usery,1954-09-29
10948,Shigehito,Brodie,1952-12-23
10949,Shigeichiro,Wroclawski,1953-08-14
10956,Arno,Picel,1955-02-02
10965,Eckart,Braunschweig,1955-07-10
10969,Premal,Noriega,1954-09-05
10971,Isamu,Vadhan,1955-02-08
10974,Muneo,Papsdorf,1952-03-07
10985,Chiradeep,Furedi,1952-05-31
10986,Masako,Schiper,1954-08-11
10987,Flemming,Baezner,1952-11-26
10988,Chinya,Deyuan,1955-06-24
10989,Sumali,Candan,1954-09-08
10990,Shin,Foote,1954-10-22
10996,Matk,Rahimi,1955-02-01
11002,Bluma,Ulupinar,1952-02-26
11004,JoAnna,Decleir,1954-08-05
11009,Alper,Axelband,1954-08-30
11012,Taegyun,Speckmann,1953-09-12
11019,Leon,Huttel,1954-09-06
11021,Srinidhi,Henders,1954-07-13
11024,Manton,Collavizza,1954-06-17
11027,Remzi,Cappello,1955-12-13
11028,Miyeon,Krider,1952-02-23
11031,Ottavia,Walstra,1954-12-20
11032,Erez,Schaaf,1953-04-19
11037,Lansing,Maliniak,1952-05-22
11038,Jinya,Beidas,1955-10-13
11042,Gou,Breugel,1955-07-13
11048,Jaques,Demke,1952-10-26
11050,Elvis,Katiyar,1952-09-23
11051,Przemyslawa,Erol,1952-10-06
11056,Palash,Speel,1955-10-24
11060,Genevieve,Pokrovskii,1953-06-30
11061,Pintsang,Erni,1954-11-11
11064,Shawna,Vieri,1952-08-10
11066,Shaz,Langford,1954-11-06
11070,Adib,Raney,1952-06-30
11071,Kwan,Sigstam,1954-07-18
11075,Karsten,Belinskaya,1954-10-28
11077,Hideyuki,Merro,1953-01-28
11079,Piyush,Garigliano,1952-09-18
11081,Barry,Boyle,1952-06-20
11083,Shimshon,Ducloy,1954-07-09
11084,Greger,Senzako,1955-07-03
11085,Hailing,Thummel,1953-09-08
11087,Changho,Jayawardene,1954-05-17
11089,Conal,Henders,1955-02-18
11091,Souichi,Ramsay,1952-10-10
11092,Narain,Stamatiou,1954-09-28
11098,Arnd,Covnot,1953-09-11
11100,Berna,Cochrane,1955-10-14
11106,Aris,Iwayama,1955-02-23
11110,Valeska,Birjandi,1955-12-11
11111,Udi,Zastre,1954-07-14
11112,Boaz,Mukaidono,1954-08-05
11113,Shahab,Peng,1953-04-28
11114,Tse,Felcyn,1955-09-08
11119,Ramzi,Luga,1955-07-09
11121,Vugranam,Kakkad,1953-02-13
11130,Xinyu,Menhoudj,1953-01-17
11132,Kristin,Harnett,1952-08-01
11133,Nalini,Azulay,1955-12-13
11134,Sachar,Rajcani,1954-05-15
11137,Hugh,Luca,1955-03-17
11139,Bogdan,Homond,1955-10-13
11143,Yongdong,Rosen,1955-03-06
11144,Carrsten,Heinisuo,1954-12-07
11145,Jinxi,Baak,1954-01-14
11146,Ishfaq,Masand,1954-06-25
11147,Ayonca,Nitsch,1955-09-26
11148,Zhanqiu,Botman,1953-01-23
11156,Tomoyuki,Armand,1954-04-13
11158,Masaki,Hagimont,1952-02-23
11162,Kauko,Narlikar,1953-03-25
11168,Shmuel,Tetzlaff,1953-05-03
11170,Minghong,Cannard,1952-05-05
11174,Akhilish,Milicia,1952-09-14
11177,Chrisa,dAstous,1954-04-09
11180,Mitsuyuki,Bojadziev,1952-11-07
11181,Hausi,Cullers,1952-05-28
11185,Aloys,Baezner,1954-04-10
11186,Kshitij,Stasinski,1953-07-15
11189,Dante,Bodoff,1953-03-07
11192,Apostol,Bahr,1952-09-06
11195,Masanao,Lovengreen,1953-09-04
11197,Tadahiro,Fordan,1955-05-11
11201,Jouko,Masaki,1952-05-20
11203,Sakthirel,Yetto,1952-06-24
11204,Diederik,Covnot,1955-12-15
11206,Steen,Sury,1954-07-14
11207,Saeed,Gips,1955-08-14
11208,Saniya,Valtorta,1952-05-29
11211,Yurij,Rissland,1952-12-11
11213,Vugranam,Munoz,1955-10-19
11217,Kellie,Mawatari,1954-07-01
11218,Kirk,Hemaspaandra,1953-06-03
11221,Alselm,Hammerschmidt,1953-11-29
11229,Gretta,Ramamoorthy,1953-10-20
11232,Hidefumi,Crelier,1955-09-03
11233,Sanjit,Waschkowski,1952-05-08
11240,Kiam,Condotta,1955-08-12
11243,Udi,Desikan,1955-06-14
11249,Randi,Cyre,1954-10-01
11251,Bezalel,Chinal,1955-10-16
11253,Koldo,Pokrovskii,1952-09-11
11254,Danel,Rindone,1954-12-14
11258,Aris,Maccarone,1953-10-12
11266,Florina,Rohrbach,1955-08-09
11267,Shaunak,Zaumen,1955-10-18
11268,Aimee,Petersohn,1954-05-14
11274,Masanao,Nicolson,1954-09-08
11275,Hitomi,Eppinger,1955-10-18
11288,Domenico,Eastman,1953-03-23
11289,Chuanti,Cherinka,1953-03-20
11290,Visit,Dredge,1953-05-07
11291,Gino,Glowinski,1953-11-01
11292,Souichi,Sichman,1953-05-18
11294,Tru,Segond,1954-06-11
11295,Abdelkader,Lanzelotte,1953-02-03
11296,Hironobu,Kenevan,1954-12-24
11297,Geraldo,Levergood,1954-03-19
11300,Lillian,Fontet,1952-12-14
11301,Mingzeng,Oxenboll,1953-08-19
11302,Shem,Senzako,1955-06-20
11315,Neven,Meriste,1955-04-21
11317,Shigeaki,Hagimont,1954-07-24
11319,Pranas,Marrakchi,1955-06-05
11320,Atilio,McAlpine,1954-04-13
11322,Nathalie,Pocchiola,1952-07-19
11324,Kauko,Billingsley,1953-11-16
11325,Samphel,Rossi,1952-02-06
11326,Munenori,Plesums,1952-09-15
11338,Kwangsub,Hanratty,1954-11-03
11339,Flemming,Massonet,1954-06-05
11340,Aris,Bala,1952-12-04
11343,Susanne,Erez,1954-09-10
11347,Anneli,Jonsson,1954-12-27
11349,Yurii,Hammerschmidt,1953-09-05
11360,Fen,Schach,1953-05-24
11365,Toshimi,Shinomoto,1953-11-17
11372,Susanta,Vilarrasa,1953-09-04
11373,Yongmao,Keohane,1953-07-29
11376,Valery,Suomi,1952-03-10
11380,Kenroku,Pelc,1952-04-23
11385,Shiv,Ullian,1952-03-04
11386,Alselm,Assaf,1954-09-27
11387,Jordanka,Kalloufi,1954-07-18
11393,Junsik,Junot,1954-05-17
11396,Anneke,Servieres,1955-02-06
11398,Oscar,Peir,1953-05-30
11401,Huan,Merey,1952-12-20
11404,Bedrich,Borovoy,1954-09-15
11406,Eberhardt,Gini,1955-04-11
11410,Gro,Vendrig,1953-11-27
11414,Eishiro,Pearson,1952-08-08
11415,Sanjiv,Anido,1953-10-29
11417,Anneli,Cyne,1954-11-20
11418,Satosi,Cooley,1954-03-21
11420,Tsutomu,Lalonde,1955-04-30
11421,Josyula,Msuda,1953-11-07
11423,Guangming,Kopetz,1954-09-16
11425,Renee,Crelier,1955-11-20
11428,Remco,Reinhart,1953-07-08
11431,Youngkon,Picht,1954-08-05
11441,Marlo,Aingworth,1954-11-16
11446,Naftali,Narahara,1954-06-20
11449,Kotesh,Asser,1955-03-30
11451,Eben,Rajaraman,1955-05-05
11452,Shigehito,Luby,1953-01-16
11459,Duke,Suomi,1953-10-14
11460,Mana,Maraist,1955-11-19
11461,Kish,Cronau,1955-04-18
11468,Navin,Maksimenko,1955-12-02
11469,Guttorm,Giaccio,1952-12-01
11474,Gennady,Akazan,1953-04-17
11476,Manton,Yoshizawa,1954-06-20
11477,Fox,Narahari,1955-05-15
11479,Shridhar,Pleszkun,1953-12-02
11501,Karsten,Ranum,1952-03-26
11503,Nathan,Picht,1953-08-01
11506,Rance,Picel,1955-06-16
11509,Aleksander,Feldhoffer,1954-06-18
11513,Otmar,Mahnke,1954-07-16
11515,Ulf,Basawa,1955-03-03
11518,Jinxi,Oxman,1953-07-21
11519,Halsur,Chinen,1954-11-26
11521,Eldridge,Eastman,1952-06-14
11523,Yuguang,Pezzoli,1953-01-25
11524,Xiadong,Standera,1955-10-26
11526,Tonny,Impagliazzo,1954-04-19
11527,Alagu,Boyle,1952-02-06
11528,Zito,Dolinsky,1955-04-26
11531,Radhika,Motley,1952-09-08
11533,Vitaly,Lorch,1953-10-30
11537,DAIDA,Pehl,1955-06-29
11540,Chanjung,Portugali,1954-01-26
11554,Subhash,Taubenfeld,1955-05-28
11555,Kotesh,Perfilyeva,1955-08-05
11562,Rimli,Alencar,1953-06-22
11567,Teiji,Mitzlaff,1954-07-06
11568,Martins,Fujisaki,1955-12-01
11573,Pranas,Hutton,1952-12-18
11575,Godehard,Plotkin,1955-02-22
11577,Mayumi,Deyuan,1953-01-11
11578,Edwin,Rosti,1953-12-22
11581,Patricio,Rosenbaum,1953-04-12
11587,Shem,Zambonelli,1954-07-04
11588,Kaijung,Panangaden,1952-07-20
11589,Gina,Plessier,1955-01-10
11595,Takanari,Kamber,1953-02-26
11596,Yannik,Gunderson,1952-12-22
11597,Yongdong,Talmon,1955-04-10
11602,Somnath,Malabarba,1953-08-09
11603,Herb,Swen,1954-12-07
11606,Perry,Pepe,1952-11-05
11607,Tomokazu,Foong,1953-12-03
11615,Shem,Isaak,1955-03-05
11616,Zhilian,Brendel,1954-07-12
11624,Adil,Gammage,1955-05-16
11628,Fan,Malinowski,1952-02-14
11636,Fumitaka,Shiratori,1955-06-16
11640,Valeri,Coorg,1953-10-06
11641,Chikako,Rothenberg,1955-10-13
11644,Sanjit,Zaiane,1952-04-08
11646,Lobel,Rubsam,1953-06-22
11647,Magy,Nitsche,1953-10-13
11649,Shen,Bernardinello,1954-10-07
11660,Gill,Stenning,1955-07-19
11664,Oksana,Brizzi,1955-08-27
11667,Kristian,Marchegay,1955-05-15
11673,Henk,Felder,1954-12-20
11676,Valeri,Ferriere,1952-04-12
11681,Fumitake,Benzmuller,1952-05-15
11684,Oksana,Gide,1953-03-07
11686,Nadjib,Srimani,1952-11-14
11690,Domenick,Raczkowsky,1953-11-10
11693,Hideo,Coorg,1952-02-15
11696,Dante,Rothe,1954-10-26
11705,Arve,Hofmeyr,1954-11-26
11708,Chenye,Angot,1953-12-22
11713,Danel,Heusch,1952-02-27
11732,Sanjoy,Ranft,1955-06-14
11733,Leszek,Sudbeck,1954-05-25
11735,Amalendu,Picci,1955-02-19
11736,Shugo,Uchoa,1953-08-21
11737,Martina,Garnier,1952-07-17
11738,Tadahiro,Lichtman,1954-12-13
11746,Koichi,Marrakchi,1952-05-22
11747,Aksel,Kossowski,1953-11-27
11748,Lihong,Massonet,1953-03-07
11751,Jiafu,Emiris,1953-02-02
11755,Zhenbing,Karner,1954-08-16
11756,Abdelwaheb,Vakili,1955-02-24
11763,Yuriy,Liesche,1953-08-19
11764,Sanjay,Anick,1953-04-22
11765,Zorica,Junet,1955-08-17
11769,Chandrasekaran,Lampe,1953-07-17
11770,Arumugam,Jakobus,1955-08-26
11772,Gaurav,Penz,1954-06-19
11774,Aron,Wroclawski,1954-07-11
11778,Dhritiman,Fontan,1953-04-23
11779,Shunichi,Thombley,1952-06-07
11791,Gal,Mamelak,1955-11-07
11797,Chenxi,Thambidurai,1954-08-12
11801,Tommaso,Dayang,1953-11-22
11805,Rosine,Grandbois,1953-06-05
11807,Chriss,Binding,1955-12-25
11810,Amabile,Bhattacharjee,1952-12-08
11811,Herb,Boissier,1953-07-05
11813,Gita,Muhlberg,1952-04-27
11814,Manohar,Shinomoto,1954-09-16
11817,Niranjan,Markovitch,1955-05-25
11821,Mary,Piazza,1954-10-18
11822,Sastry,Madeira,1954-08-30
11823,Weiyi,Iacovou,1954-09-25
11829,Chaosheng,Pettis,1952-08-01
11832,Arto,Zlotek,1952-05-18
11836,Ortrud,Bakhtari,1952-09-14
11838,Taiji,Nitta,1955-04-13
11841,Elvia,Bugrara,1955-04-21
11842,Moto,Piazza,1954-03-31
11844,Shawna,Demeyer,1953-10-30
11846,Fai,Perly,1954-04-24
11847,Tzvetan,Brandsma,1954-03-05
11853,Zeljko,Kusakabe,1952-06-19
11857,Divier,Farrag,1955-12-03
11862,Alejandra,Deville,1954-01-25
11864,Pradeep,Kriebel,1952-06-14
11868,Kwee,Demke,1954-03-02
11869,Fumino,Luca,1955-09-14
11871,Nalini,Sommen,1953-05-02
11872,Cheong,Riexinger,1953-01-17
11876,Leszek,Kobuchi,1954-09-17
11877,Heng,Sudkamp,1953-06-15
11881,Arra,Staelin,1952-08-06
11883,Nectarios,Bhattacharjee,1952-05-27
11888,Badri,Azulay,1952-04-05
11894,Mitchel,Validov,1954-12-23
11896,Shaunak,Benzmuller,1953-06-14
11897,Cordelia,Setlzner,1952-11-23
11906,Hideo,Boguraev,1955-04-26
11911,Ashish,Mondadori,1952-07-08
11915,Miomir,Mawatari,1954-08-16
11917,Jiakeng,VanScheik,1955-03-26
11926,Leni,Felcyn,1955-04-06
11931,Gunilla,Chiodo,1952-10-30
11933,Basil,Erman,1953-08-15
11938,Aruna,Verspoor,1954-01-14
11939,Chinhyun,Basart,1954-10-25
11940,Ult,Anido,1954-06-24
11944,Along,Aumann,1952-05-15
11945,Limsoon,Marakhovsky,1952-02-17
11948,Yahiko,Nergos,1952-02-21
11949,Martijn,Harbusch,1953-01-27
11951,Bernt,Haumacher,1955-05-08
11965,Arup,Morrey,1954-12-03
11972,Sibyl,Beausoleil,1954-10-01
11980,Yechezkel,Pews,1955-07-03
11983,Jaana,Hedayat,1953-01-04
11987,Vidya,Schaar,1954-12-29
11988,Chinya,Chinin,1953-08-10
11989,Erzsebet,Peltason,1953-10-29
11993,Marit,Dalphin,1955-10-29
11994,Sigeru,Fiebach,1953-02-11
11997,Heon,Mawatari,1954-06-19
12007,Marko,Dehkordi,1952-06-18
12008,Frederique,Zykh,1953-09-13
12011,Zhilian,Coorg,1953-12-16
12015,Kensei,Guenter,1954-08-26
12021,Chikara,Rahimi,1955-03-11
12023,Chuanyi,Eppinger,1954-07-05
12024,Mayumi,Lanzelotte,1952-11-09
12025,Jaewoo,Heiserman,1953-05-04
12028,Ingemar,Walstra,1952-11-21
12030,Shuky,Cromarty,1953-06-02
12033,Visit,Serot,1955-05-06
12034,Aemilian,Piazza,1954-04-15
12036,Mads,Ratzlaff,1953-03-02
12037,Arunas,Katzenelson,1954-01-11
12040,Bluma,Kermarrec,1955-03-24
12043,Masaki,Lubachevsky,1952-12-11
12044,Rance,Hemaspaandra,1955-08-16
12047,Jordanka,Ligten,1954-01-16
12050,Yuchang,Tchuente,1953-06-08
12052,Masako,Khasidashvili,1953-11-13
12053,Yechezkel,Pelc,1955-06-20
12054,Odysseas,Braccini,1954-04-08
12055,Rutger,Kilgore,1952-03-16
12060,Toshimi,Antonakopoulos,1955-03-25
12062,Margareta,Worfolk,1954-01-20
12063,Lein,Bale,1955-07-06
12069,Ayonca,Burnard,1953-12-27
12070,Ger,Shokrollahi,1955-07-23
12076,Karlis,Siprelle,1955-03-16
12077,Steve,Hutton,1954-11-17
12080,Panayotis,Feinberg,1953-10-16
12082,Xinan,Yamaashi,1953-09-20
12087,Weijing,Jumpertz,1953-05-09
12089,Bilhanan,Socorro,1954-06-21
12090,Shigenori,Angelopoulos,1955-03-27
12091,Lansing,Cunliffe,1955-02-19
12092,Kauko,Unno,1955-07-20
12093,Evgueni,Oxenboll,1952-07-02
12094,Weiru,Pearson,1955-05-02
12095,Fai,Smeets,1953-05-24
12099,Nobuyoshi,Kuzuoka,1953-01-12
12102,Aron,Erde,1952-10-14
12103,Becky,Erie,1955-02-03
12104,Dulce,Kohling,1955-03-26
12112,Satyanarayana,Avouris,1953-07-01
12114,Shiv,Rubsam,1954-11-05
12122,Satoru,Krone,1954-06-27
12123,Xiahua,Syrzycki,1954-07-08
12125,Shounak,Erman,1953-04-16
12128,Yannik,Barreiro,1953-09-13
12138,Takahito,Brender,1953-09-02
12140,Xudong,Paciorek,1952-07-30
12148,Hidde,Garigliano,1952-08-08
12149,Suebskul,Grandbois,1954-10-25
12159,Shem,Perly,1955-08-15
12160,Aamer,Garrabrants,1954-12-11
12164,Muneo,Chachaty,1954-01-04
12165,Xiaobin,Maquelin,1952-11-19
12168,Arnd,Salverda,1954-07-10
12172,Jianhua,Llado,1954-04-04
12173,Adel,Nanard,1955-02-03
12174,Slavian,Plavsic,1955-02-01
12183,Harngdar,Iisaku,1954-06-29
12186,Guther,Nooteboom,1952-12-06
12190,Abdulah,Engberts,1952-12-19
12191,Rosella,Bazzichi,1953-12-02
12192,Feiyu,Klyachko,1954-11-06
12205,Sushant,Rossi,1955-08-24
12206,Barton,Janetzko,1954-11-21
12210,Vugranam,Ashish,1954-01-12
12213,Kwangho,Brizzi,1952-09-26
12216,Aloke,Mansanne,1954-12-27
12218,Yaghout,Strooper,1954-08-01
12219,Junsik,Gadepally,1952-07-13
12221,Vincent,Melter,1955-07-14
12222,Abdelwaheb,Holburn,1953-03-04
